mark,model,vollume,power
Honda,GL 1800,1808.8019801980197,91.43564356435644
Honda,GL 500,500.0,59.0
Honda,Hawk 11,1100.0,48.0
Honda,Jazz,49.5,25.75
Honda,MSX125 Grom,125.0,3.0
Honda,Magna,494.1111111111111,47.55555555555556
Honda,NC 700S,694.4242424242424,47.06060606060606
Honda,NC 700X,697.8842105263158,47.76842105263158
Honda,NC 750S,745.5208333333334,42.270833333333336
Honda,NC 750X,749.2111801242236,47.58385093167702
Honda,NM4,750.0,22.4
Honda,NSR,149.5,26.0
Honda,NT1100,1086.9268292682927,86.02439024390245
Honda,NT650V Deauville,649.5,55.666666666666664
Honda,NT700V Deauville,692.7272727272727,46.54545454545455
Honda,NTV 650,650.0,56.666666666666664
Honda,NV,575.0,59.5
Honda,NX,536.0,37.0
Honda,Navi,109.66666666666667,5.666666666666667
Honda,PC 800,800.0,44.333333333333336
Honda,RVF 400,400.0,50.0
Honda,Rebel 250,250.0,11.666666666666666
Honda,Rebel 300,300.0,47.0
Honda,Rebel 500,495.1666666666667,12.083333333333334
Honda,SL,231.0,10.5
Honda,ST 1100,1093.0,83.66666666666667
Honda,ST 1300,1291.9310344827586,106.20689655172414
Honda,Shadow 150,149.0,11.0
Honda,Shadow 400,399.1,28.25
Honda,Shadow 750,749.1666666666666,36.233333333333334
Honda,Solo,49.0,6.0
Honda,Steed 400,399.6666666666667,28.757575757575758
Honda,Steed 600,610.0,36.6
Honda,TLM,166.33333333333334,12.333333333333334
Honda,Transalp 400,399.5,19.0
Honda,Transalp 600,595.0,37.75
Honda,Transalp 650,649.625,40.875
Honda,Unicorn,163.0,13.0
Honda,VF 750,750.0,57.166666666666664
Honda,VFR 1200,1208.1052631578948,128.98245614035088
Honda,VFR 1200 X Crosstourer,1210.8333333333333,122.05555555555556
Honda,VFR 400,400.0,57.5
Honda,VFR 750,666.5555555555555,76.88888888888889
Honda,VFR 800,790.8717948717949,80.62393162393163
Honda,VFR 800X Crossrunner,796.7647058823529,98.23529411764706
Honda,VRX 400,399.6842105263158,27.94736842105263
Honda,VT 1100,1099.8529411764705,54.76470588235294
Honda,VT 1300CR Stateline,1304.3636363636363,52.09090909090909
Honda,VT 1300CS Sabre,1304.0,49.111111111111114
Honda,VT 1300CT Interstate,1295.0,34.5
Honda,VT 1300CX Fury,1301.142857142857,41.142857142857146
Honda,VT 400,399.65,25.85
Honda,VT 600,600.0,25.0
Honda,VT 750,749.2989690721649,37.44329896907217
Honda,VTR 1000,999.0,99.56521739130434
Honda,VTR 250,249.5,21.166666666666668
Honda,VTX 1300,1300.857142857143,50.5
Honda,VTX 1800,1799.4186046511627,78.67441860465117
Honda,VTZ,250.0,33.0
Honda,Valkyrie 1500,1504.4444444444443,55.77777777777778
Honda,Valkyrie 1800,1814.5,106.0
Honda,X11,1000.3333333333334,113.0
Honda,X4,1290.2068965517242,86.34482758620689
Honda,XL 250,250.0,28.0
Honda,XL1000V Varadero,998.8888888888889,94.77777777777777
Honda,XL700V Transalp,690.4761904761905,57.19047619047619
Honda,XL750 Transalp,744.8823529411765,59.470588235294116
Honda,XLR,249.66666666666666,19.0
Honda,XR 100,99.0,1.0
Honda,XR 125,124.33333333333333,11.666666666666666
Honda,XR 190,184.0,15.0
Honda,XR 230,223.0,18.0
Honda,XR 250,259.1875,22.625
Honda,XR 400,400.0,23.2
Honda,XR 50,50.0,1.0
Honda,XR 600,600.0,60.0
Honda,XR 650R,649.75,63.25
Honda,XRV 750 Africa Twin,738.4444444444445,49.72222222222222
Honda,Z50,49.0,3.0
Indian,Challenger,1771.85,110.8
Indian,Chief,1869.3529411764705,73.0
Indian,Chief Bomber,1900.0,100.0
Indian,Chief Deluxe,1680.0,75.0
Indian,Chief Vintage,1830.0,69.5
Indian,Chieftain,1852.4,64.4
Indian,FTR 1200,1201.9285714285713,104.78571428571429
Indian,Pursuit,1768.0,122.0
Indian,Roadmaster,1849.857142857143,69.35714285714286
Indian,Scout,1119.2068965517242,98.56896551724138
Indian,Scout Sixty,1014.4444444444445,46.22222222222222
Indian,Springfield,1859.142857142857,65.57142857142857
KTM,1050 Adventure,1050.0,94.75
KTM,1090 Adventure R,1090.0,63.0
KTM,1190 Adventure,1195.0,131.0
KTM,1190 Adventure R,1193.5714285714287,149.71428571428572
KTM,1190 RC8,1200.0,160.0
KTM,125 Duke,125.0,1.0
KTM,125 EXC,125.0,15.666666666666666
KTM,125 SX,124.0909090909091,26.363636363636363
KTM,1290 Super Adventure,1290.0,160.0
KTM,1290 Super Adventure R,1298.7272727272727,152.77272727272728
KTM,1290 Super Adventure S,1298.8139534883721,156.30232558139534
KTM,1290 Super Adventure T,1300.0,160.0
KTM,1290 Super Duke GT,1296.5333333333333,140.46666666666667
KTM,1290 Super Duke R,1296.6666666666667,174.16666666666666
KTM,1290 Super Duke R Evo,1297.0,120.33333333333333
KTM,1390 Super Duke R,1350.0,190.0
KTM,1390 Super Duke R Evo,1349.5,190.0
